amfi_code,return_3yr_pct,expense_ratio_pct,sharpe_ratio,alpha,beta,max_drawdown,worst_date,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,fund_score
119551,12.36,1.54,304.4831749779248,0.14151304739808193,0.5629308778564813,-0.1501238549864533,2024-02-05,26.0,4.0,2.0,30.5,17.0,49.16600476568706
119552,11.3,0.66,240.22643321023463,0.06197305331497181,0.8546331906290231,-0.11803493502764295,2024-09-02,34.0,12.0,14.0,4.0,11.0,56.23510722795871
119598,23.39,1.43,238.21768089393362,-0.08812721951686422,2.457368834340668,-0.2870600572176455,2025-05-14,1.0,14.0,31.0,21.0,36.0,53.21683876092137
119599,23.14,0.72,-14.41102970870135,-0.27362422338435166,2.03965414498836,-0.5257422117012851,2025-10-28,2.0,32.0,38.0,5.5,40.0,66.79904686258936
119120,6.07,0.77,-57.09699743023478,0.04251454061462542,0.08487388027964798,-0.04328728923970093,2025-04-01,38.0,37.0,19.0,9.0,5.0,83.55837966640192
100016,14.84,1.55,-50.78230102503668,-0.08969879640543672,0.7884407334841197,-0.24734440880673303,2022-09-15,16.0,35.0,32.0,32.0,34.0,89.43606036536936
125497,13.38,0.92,195.4991429549224,0.03371692785650554,0.9123261794104114,-0.15200013055606398,2025-01-01,24.0,18.0,21.0,14.0,18.0,62.90706910246227
100033,16.58,1.38,275.612083370727,0.11442300096849978,0.9915895273399906,-0.16217208574644848,2022-05-12,10.0,7.0,4.0,17.0,20.0,32.08895949166005
125498,15.29,0.78,75.75420410272206,-0.09849952597540401,1.3750608967383793,-0.21117279560132118,2025-09-12,14.0,27.0,34.0,10.0,29.0,70.373312152502
100025,7.37,0.56,-142.90788779761655,0.03319866074294831,0.06071304883828607,-0.04308263824636349,2023-07-28,36.0,39.0,22.0,2.0,4.0,81.49324861000794
120503,11.54,1.42,201.08916036853174,0.028728935886037796,0.9247921208111867,-0.13897862823061635,2023-11-09,33.0,17.0,23.0,20.0,14.0,73.55043685464655
120504,14.41,0.8,258.68411976942366,0.11599437019255472,0.6065291576079518,-0.12588275606922517,2023-05-30,20.0,10.0,3.0,12.0,12.0,38.44320889594916
120505,18.08,1.36,297.3855018104836,0.10264725537819627,1.1948147642957916,-0.18188513572116294,2025-01-23,8.0,5.0,5.0,15.0,25.0,29.86497220015886
120506,14.76,1.41,163.51745143228823,0.018469334050126258,0.914058887459882,-0.1982565826298267,2023-08-14,18.0,20.0,26.0,19.0,27.0,67.19618745035743
120507,7.68,0.74,124.92229502423471,0.06836000378313713,-0.005732200015387921,-0.0009773140045925555,2025-10-20,35.0,23.0,12.0,7.0,1.0,62.90706910246227
118632,14.0,1.51,272.57811319511745,0.057106039669331816,1.0119847058962186,-0.17414075086657232,2024-07-19,21.0,8.0,16.0,24.5,23.0,55.520254169976184
118633,12.33,0.72,162.59227444991703,0.04422646866006804,0.698535228576799,-0.18629743138595511,2024-02-29,27.0,21.0,18.0,5.5,26.0,64.7339158061954
118634,20.15,1.53,113.00537024506583,-0.17834516605752684,2.2420162446678216,-0.2334488614483311,2026-02-20,5.0,26.0,37.0,28.5,32.0,72.6767275615568
118635,11.77,0.89,167.5439636343636,0.05179487547677479,0.6258420867428852,-0.1165062450540909,2022-06-09,32.0,19.0,17.0,13.0,10.0,65.76648133439238
118636,5.31,0.55,-89.87063589362069,0.03495242125822959,0.09956905729843599,-0.08316361763638702,2024-02-09,39.0,38.0,20.0,1.0,6.0,82.44638602065132
120841,12.25,1.59,124.55667954254322,0.020996230009682273,0.6951836824355575,-0.1757361416468729,2025-02-14,28.0,24.0,25.0,35.0,24.0,85.94122319301032
120842,18.23,1.56,19.151961707740483,-0.09246402314999572,1.075704655273852,-0.24003511326274884,2024-10-17,7.0,30.0,33.0,33.0,33.0,77.68069896743448
